storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Hazardous",Firmenich,Nat flavor (Acai Berry Type),81985575,12/3/2013,5/3/2015
"Gatorade Lab, Hazardous",Synergy ,Natural Chamomile Essence,18596,2/1/2013,8/1/2014
"Gatorade Lab, Hazardous",Synergy ,Natural Concentrated Green Tea,18704,11/1/2013,5/1/2015
"Gatorade Lab, Hazardous",GNT,"Shade 'Bordeaux""",L13S75994,2/5/2014,8/5/2015
"Gatorade Lab, Hazardous",GNT,"Shade 'Bordeaux""",L12S26052,2/5/2014,8/5/2015
"Gatorade Lab, Hazardous",Synergy ,Natural Concentrated Tea Essence,FT00196,1/1/2014,7/1/2015
"Gatorade Lab, Hazardous",GNT,"Shade ""Scarlet Red""",L-12S17936,2/15/2014,8/15/2015
"Gatorade Lab, Hazardous",GNT,"Shade ""Blood Orange A""",L13-N02150,2/5/2014,8/5/2015
"Gatorade Lab, Hazardous",Synergy ,Natural Concentrated Rooibos Essence,18676,10/15/2013,4/15/2015
"Gatorade Lab, Hazardous",Synergy ,Jasmine Essence,18597,10/1/2013,4/1/2015
"Gatorade Lab, Hazardous",GNT,"Shade ""Bordeaux""",L-12S32459,2/19/2013,8/19/2014
"Gatorade Lab, Hazardous",Firmenich ,New Blend,560685T,11/26/2013,5/26/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Cucumber Melon,822150,12/16/2013,6/16/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Mango Lemon Flavor,822149,12/16/2013,6/16/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Lemonade Type Flavor,C3A0000594,4/26/2013,4/26/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Peanut Butter Fl Type,TRH0422M05,6/3/2013,6/3/2014
"Gatorade Lab, Non-Hazardous",Symrise,Symlife (R) Nat Fl Sweet Type SWL,SL13-2503-15,5/21/2013,5/21/2014
"Gatorade Lab, Non-Hazardous",Symrise,N&A Vanilla Flavor,SL13-3101-1,6/6/2013,6/6/2014
"Gatorade Lab, Non-Hazardous",Symrise,"Nat Fl, Phosphoric Acid Type",SL13-2803-3,6/4/2013,6/4/2014
"Gatorade Lab, Non-Hazardous",Symrise,Sweet Enhancer Nat Fl Solubilisat,SL13-0805-7,5/22/2013,5/22/2014
"Gatorade Lab, Non-Hazardous",Symrise,Evospray Nat Fl Lemonade Type,SD13-2805-2,6/13/2013,6/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,N&A Grape Fl Powder,40100006,6/14/2013,6/14/2014
"Gatorade Lab, Non-Hazardous",Symrise,"N&A Fl Powder, Chocolate Fudge Type",40100001,6/13/2013,6/13/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Peach Tea Fl WONF,1010002,6/13/2013,6/13/2014
